FAMÍLIA;SUB-FAMÍLIA;CODIGO SINAPI;DESCRIÇÃO;FABRICANTE DE REFERÊNCIA;UN.;PREÇO MÉDIO R$;DATA DE ATUALIZAÇÃO;FONTE DO PREÇO MÉDIO
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Cobre à Compressão - Longo 2Furos - M6 - 25mm;TM-25-2L - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Cobre à Compressão - Longo 2Furos - M8 - 35mm;TM-35-2L - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Cobre à Compressão - Longo 2Furos - M8 - 50mm;TM-50-2L - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Cobre Fundido - 2Furos - M12 - 16mm;TCF-16-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Cobre Fundido - 2Furos - M12 - 25mm;TCF-25-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Cobre Fundido - 2Furos - M12 - 35mm;TCF-35-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Cobre Fundido - 2Furos - M12 - 50mm;TCF-50-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Cobre Fundido - 2Furos - M12 - 70mm;TCF-70-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Cobre Fundido - 2Furos - M12 - 95mm;TCF-95-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 1Furo 1C - M12 - 1/0AWG/MCM 50mm;TAL-44 – Intelli;un.;6,02;06/01/2026;https://www.dimensional.com.br/terminal-compressao-50mm2-1-comp-1f-al-tal44-intelli/p
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 1Furo 1C - M12 - 2/0AWG/MCM 70mm;TAL-49 – Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 1Furo 1C - M12 - 2AWG/MCM 35mm;TAL-38 – Intelli;un.;27,13;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-aluminio-2awg--1furo--812804-9-tal-38-intelli-02140119/p?skuId=11204
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 1Furo 1C - M12 - 4/0AWG/MCM 120mm - C/P;TAL-60 – Intelli;un.;34,12;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-aluminio-4-0awg--1furo--c-p-812808-1-tal-60-02140123/p?skuId=11215
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 1Furo 1C - M12 - 4AWG/MCM 25mm;TAL-32 - Intelli;un.;20,6;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-aluminio-4awg--1furo--tt4-812803-0-tal-32-intelli-02140118/p?skuId=13345
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 1Furo 1C - M8 - 6AWG/MCM 16mm;TAL-16 – Intelli;un.;4,59;06/01/2026;https://www.dimensional.com.br/terminal-compressao-16mm2-2-comp-1f-m8-al-tal16-intelli/p
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 1Furo 2C - M12 - 3/0AWG/MCM 95mm;TAL-58 – Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 2Furos - 2/0AWG/MCM;TAL-49-2 - Intelli;un.;53,9;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-aluminio-2-0awg-2f-tal-49-2-812813-8-intelli-04040016/p?skuId=13348
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 2Furos 2C - M12 - 1/0AWG/MCM 50mm;TAL 44-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 2Furos 2C - M12 - 2AWG/MCM 35mm;TAL 38-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 2Furos 2C - M12 - 4AWG/MCM 25mm;TAL 32-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 2Furos 2C - M12 - Ca 2/0AWG/MCM 70mm;TAL 70-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 2Furos 3C - M12 - 4/0AWG/MCM 120mm - C/P; TAL-60-2 - Intelli;un.;47,19;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-aluminio-4-0awg-120mm-2f-tal-60-2-c-p-ntc812925-intelli-02140121/p?skuId=13346
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 2Furos 3C - M12 - Ca 250AWG/MCM 150mm;TAL 150-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 2Furos 3C - M12 - Ca 3/0AWG/MCM 95mm;TAL 58-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 2Furos 4C - M12 - Ca 336,4AWG/MCM 185mm - C/P;TAL 72-2 - Intelli;un.;58,04;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-aluminio-ca-3364-185mm-2f-c-p-ntc-812811-1-tal-72-2-02140124/p?skuId=13347
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 2Furos 4C - M12 - Caa 336,4 Ca 400AWG/MCM 185-240mm - S/P;TAL 80-2 - Intelli;un.;40,93;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-aluminio-caa-3364-185-240mm-ca-400mcm-2f-tal-80-2-s-p-02010121/p?skuId=13349
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Alumínio 2Furos 5C - M12 - Ca 556,5AWG/MCM 300mm;TAL 92-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão P/Borne Cobre Pino Curto - Tcm 10mm;Copel;un.;8,64;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-p-borne-cobre-pino-curto-p-cabo-10mm-copel-017230-8-02140139/p?skuId=9326
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão P/Borne Cobre Pino Longo P/Cabo - Tcm | 10mm;-;un.;8,91;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-p-borne-cobre-pino-longo-p-cabo-10mm-02140132/p?skuId=13443
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto  2 Furos - M12 - 500mm;TF-500-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M10 - 120mm;TF-120 - Intelli;un.;15,35;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M10 - 150mm;TF-150-10 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M10 - 185mm;TF-185-10 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M10 - 240mm;TF-240-10 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M10 - 25mm;TF-25-10 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M10 - 35mm;TF-35-10 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M10 - 50mm;TF-50 - Intelli;un.;5,46;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
