FAMÍLIA;SUB-FAMÍLIA;CODIGO SINAPI;DESCRIÇÃO;FABRICANTE DE REFERÊNCIA;UN.;PREÇO MÉDIO R$;DATA DE ATUALIZAÇÃO;FONTE DO PREÇO MÉDIO
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X1/4  155mm, Com 5 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;107,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-parafusos-de-14-1003
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X1/4"" 230mm, Com 9 Terminais de Pressão e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;246,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-terminais-de-pressao-1011
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X1/8  155mm, Com 5 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;73,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-parafusos-de-14
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X1/8 230mm, Com 11 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;104,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-parafusos-de-14-1004
ATERRAMENTO;BEP;NÃO ENCONTRADO;Barra de Equipotencialização 1.1/4X3/16  155mm, Com 5 Terminais de Pressão e Base de Fixação em Alumínio;KAPPLAN ENERGY;un.;136,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-terminais-de-pressao
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X3/16 230mm, Com 9 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;130,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-parafusos-de-14-1005
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barra de Equipotencialização 1.1/4X3/16""  155mm, Com 5 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;90,99;11/12/2025;https://www.kapplanenergy.com.br/barramento-de-equipotencializacao/barra-de-equipotencializacao-1-14x316-155mm-com-5-parafusos-14-e-base-de-fixacao-em-aluminio
ATERRAMENTO;BEP;NÃO ENCONTRADO;Barramento de Equipotencialização 1.1/4X1/4 155mm, Com 5 Terminais de Pressão e Base de Fixação em Alumínio;KAPPLAN ENERGY;un.;151,7;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-terminais-de-pressao-1008
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barramento de Equipotencialização 1.1/4X1/4"" 230mm, Com 9 Parafusos 1/4"" e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;155,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-terminais-de-pressao-1010
ATERRAMENTO;BEP;NÃO ENCONTRADO;"Barramento de Equipotencialização 1.1/4X3/16"" 230mm, Com 9 Terminais de Pressão e Base de Fixação em Alumínio";KAPPLAN ENERGY;un.;222,99;11/12/2025;https://www.kapplanenergy.com.br/barra-de-equipotencializacao-com-parafusos-de-14-1002
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 101,6 X 6,35 X 385mm 26 Furos Ø 10mm;TEL-935;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 38,1 X 4,76 X 130mm 8 Furos Ø 8,5mm;TEL-931;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 38,1 X 4,76 X 200mm 12 Furos Ø 10mm;TEL-932;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 63,5 X 6,35 X 300mm 7 Furos Ø 7mm;TEL-930;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 63,5 X 6,35 X 360mm 18 Furos Ø 9mm;TEL-933;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 63,5 X 6,35 X 420mm 22 Furos Ø 11,1mm;TEL-934;un.;;;-
ATERRAMENTO;BEP;NÃO ENCONTRADO;BEP/BEL 76,2 X 6,35 X 360mm 24 Furos Ø 10,5mm;TEL-936;un.;;;-
ATERRAMENTO;CABO;862;Cabo de Cobre NU 10 mm2 Meio-Duro;-;m;11,73;dez/24;SINAPI 2024
ATERRAMENTO;CABO;866;Cabo de Cobre NU 120 mm2 Meio-Duro;-;m;149,1;dez/24;SINAPI 2024
ATERRAMENTO;CABO;892;Cabo de Cobre NU 150 mm2 Meio-Duro;-;m;180,48;dez/24;SINAPI 2024
ATERRAMENTO;CABO;857;Cabo de Cobre NU 16 mm2 Meio-Duro;-;m;19,63;dez/24;SINAPI 2024
ATERRAMENTO;CABO;37404;Cabo de Cobre NU 185 mm2 Meio-Duro;-;m;208,81;dez/24;SINAPI 2024
ATERRAMENTO;CABO;NÃO ENCONTRADO;Cabo de Cobre NU 240 mm2 Meio-Duro;-;m;449,71;07/01/2026;https://loja.eletromw.com.br/produto/cabo-de-cobre-nu-240mm-19-fios-normatizado/
ATERRAMENTO;CABO;868;Cabo de Cobre NU 25 mm2 Meio-Duro;-;m;27,97;dez/24;SINAPI 2024
ATERRAMENTO;CABO;NÃO ENCONTRADO;Cabo de Cobre NU 300 mm2 Meio-Duro;-;m;319,56;09/12/2025;https://www.painelconstru.com.br/product/detail/1188
ATERRAMENTO;CABO;863;Cabo de Cobre NU 35 mm2 Meio-Duro;-;m;41,2;dez/24;SINAPI 2024
ATERRAMENTO;CABO;867;Cabo de Cobre NU 50 mm2 Meio-Duro;-;m;58,69;dez/24;SINAPI 2024
ATERRAMENTO;CABO;864;Cabo de Cobre NU 70 mm2 Meio-Duro;-;m;77,53;dez/24;SINAPI 2024
ATERRAMENTO;CABO;865;Cabo de Cobre NU 95 mm2 Meio-Duro;-;m;111,51;dez/24;SINAPI 2024
ATERRAMENTO;CAIXA DE INSPEÇÃO;NÃO ENCONTRADO;Caixa de Inspeção Construídas Com Anéis Pré-Moldados, Alvenaria ou Concreto Moldado No Local Com Tampa de Ferro Fundido Reforçada, Bocal Interior Quadrado Articulado e Borda Exterior Redonda (280X280X400)mm Ref.: Tel-536;-;un.;;;-
ATERRAMENTO;CAIXA DE INSPEÇÃO;34643;Caixa de Inspecao Para Aterramento e Para Raios, em Polipropileno, Diametro = 300 mm X Altura = 400 mm;-;un.;41,98;dez/24;SINAPI 2024
ATERRAMENTO;CAIXA DE INSPEÇÃO;41480;Caixa de Inspecao Para Aterramento ou Outro Uso, em PVC, Dn = 250 X 250 mm;-;un.;48,67;dez/24;SINAPI 2024
ATERRAMENTO;CAIXA DE INSPEÇÃO;41474;Caixa de Inspecao Para Aterramento ou Outro Uso, em PVC, Dn = 300 X *300* mm;-;un.;77,76;dez/24;SINAPI 2024
ATERRAMENTO;CAIXA DE INSPEÇÃO;41475;Caixa de Inspecao Para Aterramento ou Outro Uso, em PVC, Dn = 300 X 250 mm;-;un.;66,34;dez/24;SINAPI 2024
ATERRAMENTO;CAIXA DE INSPEÇÃO;41476;Caixa de Inspecao Para Aterramento ou Outro Uso, em PVC, Dn = 300 X 600 mm;-;un.;145,27;dez/24;SINAPI 2024
ATERRAMENTO;CAIXA DE INSPEÇÃO;NÃO ENCONTRADO;Caixa de Inspeção Suspensa em Termoplástico Com Anti-Uv  160 X 120 X 100 mm Bocal Ø 1?;TEL-541;un.;105,31;05/01/2026;https://www.lojaeletrica.com.br/caixa-suspensa-para-inspec-o-polipropileno-16x12x10cm-1-tel541.html
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector à Compressão Cabo-Haste em Bronze Natural Para Dois Cabos de 16 a 70mm² e Ferragens (Cabo-Haste);-;un.;88,87;09/12/2025;https://www.lojaeletrica.com.br/conector-duplo-cabo-haste-16-70mm-tel580-termotecnica.html
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector à Compressão Para Aterramento (Cabo-Cabo) 6-1/0AWG 16-50mm;CCO-50-50 - Intelli;un.;11,69;05/01/2026;"https://www.dimensional.com.br/conector-de-compressao-em-cobre-para-fios-de-50-a-50mm2-e-de-50-a-35mm2-para-sistemas-de-aterramento-cco-50-50-intelli/p; https://www.jardimferramentas.com/product/conector-de-compressao-em-cobre-para-fios-de-50-a-50mm2-e-de-50-a-35mm2-para-sistemas-de-aterramento-cco-50-50-intelli/"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector à Compressão Para Aterramento (Cabo-Cabo) 8-4AWG 10-25mm;CCO-25-25 - Intelli;un.;24,04;05/01/2026;https://www.melhoraopreco.com.br/ofertas/mercadolivre/5371758
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector à Compressão Para Cabos de Cobre NU 50mm² (7 Fios) (Cabo-Cabo);-;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Cabo-Haste em Latão Para 2 Cabos Com Acessórios em Aço G. F. - Haste: 5/8"" - 3/4"" | Para Condutores de Cobre e Aço Cobreado: 16 - 70mm²";TEL-1580;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Cunha Para Aterramento - Haste 12,7mm (1/2"") - Condutor 4-2AWG 25-35mm";CCA-12-35 - Intelli;un.;34,9;05/01/2026;https://www.sveletrica.com/conector-aterramento-cunha-cca-12-35mm-4487-00a0000w94/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Cunha Para Aterramento - Haste 12,7mm (1/2"") - Condutor 8-4AWG 10-25mm";CCA-12-25 - Intelli;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Cunha Para Aterramento - Haste 14,3mm (5/8"") - Condutor 10-4AWG 6-25mm";CCA-58-25 - Intelli;un.;31,26;05/01/2026;https://danieleletro.com.br/produto/conector-de-derivacao-cunha-6-25mm-para-aterramento-5-8/
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Cunha Para Aterramento - Haste 14,3mm (5/8"") - Condutor 8-2AWG 10-35mm";CCA-58-35 - Intelli;un.;29,99;07/01/2026;"https://www.eletrotrafo.com.br/conector-cunha-p-aterramento-cabo-25-35mm-haste-5-8--cca-58-35-intelli-f-l--02010118/p?skuId=13336; https://eletricaserpal.com.br/produto/5741-conector-cunha-para-aterramento-cunha-cca-58-35; https://www.lampadinha.com.br/conector-tipo-cunha-cobre-cca-58-35-23640"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector de Aterramento à Compressão Tipo ""L"" - Haste 12,7-14,3mm (1/2""-5/8"") - Condutor 2-250AWG 35-120mm";SACGL-1258-35-120 - Intelli;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector em Cobre Estanhado Para Conexão de 2 Cabos Sendo o Principal 16-35mm² e a Derivação 16-35mm² - Utiliza Matriz Iu-Bg (Tel-991);TEL-3575;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector em Cobre Para Conexão de 2 Cabos Sendo o Principal 35-50mm² e a Derivação 35-50mm² - Utiliza Matriz Iu-C (Tel-992);TEL-3576;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector em Cobre Para Conexão de 2 Cabos Sendo o Principal 50-70mm² e a Derivação 35-70mm² - Utiliza Matriz Iu-C (Tel-992);TEL-3577;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector em Liga de Cobre Para Conexão de 2 Cabos Sendo o Principal 10-25mm² e a Derivação 10-25mm² - Utiliza Matriz Iu-Bg (Tel-991);TEL-3572;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector em Liga de Cobre Para Conexão de 2 Cabos Sendo o Principal 16-50mm² e a Derivação 16-50mm² Utiliza Matriz Iu-C (Tel 992);TEL-3571;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector em Liga de Cobre Para Conexão de 2 Cabos Sendo o Principal 35-70mm² e a Derivação 16-70mm² - Utiliza Matriz Iu-o ou D-70 (Tel 990);TEL-3570;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector em Liga de Cobre Para Conexão de 2 Cabos Sendo o Principal 95-120mm² e a Derivação 10-70mm² - Utiliza Matriz 997 (Tel 997);TEL-7012;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector em Liga de Cobre Para Conexão de 2 Cabos Sendo o Principal 95-120mm² e a Derivação 95-120mm² - Utiliza Matriz 997 (Tel 997);TEL-1212;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector em Liga de Cobre Para Conexão Entre Cabos de 16-35mm² e Haste de 1/2”-5/8” - Utiliza Matriz 998 (Tel 998);TEL-1235;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector em Liga de Cobre Para Conexão Entre Cabos de 50-70mm² e Haste de 1/2”- 5/8” - Utiliza Matriz 997 (Tel 997);TEL-5870;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector em Liga de Cobre Para Conexão Entre Cabos de 50-70mm² e Haste de 5/8” - 3/4” - Utiliza Matriz 998 (Tel 998);TEL-3470;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Gar P/ Aterramento Pa-30 Bronze Padrão Copel - Betel;-;un.;5,66;09/12/2025;https://www.eletrotrafo.com.br/conector-gar-p-aterramento-mod--pa-30-bronze-padrao-copel-31270001/p?skuId=4428
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Para Aterramento Cabo/Cabo Condutor Principal 2-2/0AWG 35-70mm (Derivação 6-2/0AWG 16-70mm);SACC-70-70 - Intelli;un.;26,13;05/01/2026;"https://www.eletrotrafo.com.br/conector-para-aterramento-cabo-cabo-2-2-0awg-35-70mm-sacc-70-70-intelli-70019459/p?skuId=19491; https://www.dimensional.com.br/conector-compressao-35-a-70-mm2---sacc7070---intelli/p"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Para Aterramento Cabo/Cabo Condutor Principal 3/0-250AWG 95-120mm (Derivação 3/0-250AWG 95-120mm);SACC-120-120 - Intelli;un.;50,37;05/01/2026;https://www.eletrosul.com.br/materiais-eletricos/conector-aterramento-compressao-c-sacc-120-120
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Para Aterramento Cabo/Cabo Condutor Principal 3/0-250AWG 95-120mm (Derivação Fio 6-2/0AWG 10-70mm);SACC-120-70 - Intelli;un.;47,73;05/01/2026;https://www.eletrosul.com.br/materiais-eletricos/conector-aterramento-compressao-c-sacc-120-70
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Para Aterramento Cabo/Haste 1/2""-5/8"" 16-35mm";SACG-1258-35 - Intelli;un.;50,96;09/12/2025;https://www.eletrotrafo.com.br/conector-para-aterramento-cabo-haste-1-2--5-8--16-35mm-sacg-1258-35-intelli-02010152/p?skuId=19490
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Para Aterramento Cabo/Haste 1/2""-5/8"" 50-70mm";SACG-1258-70 - Intelli;un.;48,84;09/12/2025;https://www.eletrotrafo.com.br/conector-para-aterramento-cabo-haste-1-2--5-8--50-70mm-sacg-1258-70-intelli-02010151/p?skuId=19489
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Para Aterramento Cabo/Haste 1/2""-5/8"" 95-150mm";SACG-1258-150 - Intelli;un.;48;05/01/2026;https://loja.ccr.eng.br/products/conector-compressao-aterramento-cabo-haste-5-8-95-120mm-intelli-sacg-1258-150-13-11-03-008
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Para Aterramento Cabo/Haste 5/8""-3/4"" 16-35mm";SACG-5834-35 - Intelli;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Para Aterramento Cabo/Haste 5/8""-3/4"" 50-70mm";SACG-5834-70 - Intelli;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Para Aterramento Cabo/Haste 5/8""-3/4"" 95-150mm";SACG-5834-150 - Intelli;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Para Aterramento Transversal - Haste 14,3mm (5/8"") - Condutor 1/0AWG 50mm";CAT-58-50 (SOB CONSULTA) - Intelli;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Para Aterramento Transversal - Haste 14,3mm (5/8"") - Condutor 4-2AWG 25-35mm";CAT-58-35 - Intelli;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;"Conector Para Aterramento Transversal - Haste 14,3mm (5/8"") - Condutor 8-6AWG 10-16mm";CAT-58-16 - Intelli;un.;;;-
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido Bimetálico - Condutor Principal 150mm² Derivação 16-150mm²;PFB-150 - Intelli;un.;49,99;19/01/2026;https://www.dimensional.com.br/conector-paraf-fend-cu-al-150mm2-1859-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido Bimetálico - Condutor Principal 16mm² Derivação 2,5-16mm²;PFB-16 - Intelli;un.;9,29;19/01/2026;https://www.dimensional.com.br/conector-paraf-fend-cobre-bim-16mm2-pfb-pfb16-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido Bimetálico - Condutor Principal 35mm² Derivação 4-35mm²;PFB-35 - Intelli;un.;12,59;19/01/2026;https://www.dimensional.com.br/conector-paraf-fend-cobre-bim-35mm2-pfb35-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido Bimetálico - Condutor Principal 70mm² Derivação 10-70mm²;PFB-70 - Intelli;un.;25,99;19/01/2026;https://www.dimensional.com.br/conector-paraf-fend-cobre-10-70mm2-pfb-70-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido Bimetálico - Condutor Principal 95mm² Derivação 10-95mm²;PFB-95 - Intelli;un.;34,19;19/01/2026;https://www.dimensional.com.br/conector-parafuso-fendido-split-bolt-cobre-eletrolitico-95mm2-pfb95-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido com Rabicho - Área Condutor 10mm² (mín) e 70mm² (máx);PFR-70 - Intelli;un.;20,69;19/01/2026;https://www.dimensional.com.br/conector-paraf-fend-rabicho-cobre-70mm2-pfr70-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido com Rabicho - Área Condutor 6mm² (mín) e 16mm² (máx);PFR-16 - Intelli;un.;11,99;19/01/2026;https://www.dimensional.com.br/conector-paraf-fend-rabicho-lt-6-16mm2-pfr16-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido com Rabicho - Área Condutor 6mm² (mín) e 35mm² (máx);PFR-35 - Intelli;un.;14,09;19/01/2026;https://www.dimensional.com.br/conector-parafuso-fendido-rabicho-cobre-pfr35-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido com Rabicho (Bronze) - Área Condutor 10mm² (mín) e 70mm² (máx);PFR-70R - Intelli;un.;30,59;19/01/2026;https://www.dimensional.com.br/conector-parafuso-fendido-rabicho-bronze-70-mm2-reforcado-17524-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido com Rosca Soberba - Área Condutor 6mm² (mín) e 35mm² (máx);PFRS-35 - Intelli;un.;10,79;19/01/2026;https://www.dimensional.com.br/conector-paraf-fend-rabicho-lt-6-35mm2-pfrs35-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido com Sapata (Bronze) - 1 Condutor 16mm² (mín) e 35mm² (máx) | 2 Condutores 16-6mm² (mín) e 35-35mm² (máx);PFS-35R - Intelli;un.;21,59;19/01/2026;https://www.dimensional.com.br/conector-parafuso-fendido-sapata-bronze-35-mm2-reforcado-17516-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Parafuso Fendido com Sapata 90º - 1 Condutor 35mm² (mín) e 70mm² (máx) | 2 Condutores 16-16mm² (mín) e 70-70mm² (máx);PFS-70-90 - Intelli;un.;29,69;19/01/2026;https://www.dimensional.com.br/conector-paraf-fend-sapata-cobre-70mm2-90gr-pfs7090-intelli/p
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Split-Bolt Para Cabo de Cobre NU | 10 mm;PF-10 - Intelli;un.;6,5;09/12/2025;https://www.eletrotrafo.com.br/conector-split-bolt-10-mm-pf-10-intelli-02140002/p?skuId=4362
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Split-Bolt Para Cabo de Cobre NU | 120 mm;PF-120 - Intelli;un.;38,87;09/12/2025;"https://www.a3eletro.com.br/fios-e-cabos/acessorios-para-cabos/terminais-e-conectores/conector-split-bolt-pcabo-120mm-cobre; https://www.eletrotrafo.com.br/conector-split-bolt-10-mm-pf-10-intelli-02140002/p?skuId=4362"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Split-Bolt Para Cabo de Cobre NU | 150 mm;PF-150 - Intelli;un.;44,78;09/12/2025;"https://www.a3eletro.com.br/fios-e-cabos/acessorios-para-cabos/terminais-e-conectores/conector-split-bolt-pcabo-150mm-cobre; https://www.eletrotrafo.com.br/conector-split-bolt-10-mm-pf-10-intelli-02140002/p?skuId=4362"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Split-Bolt Para Cabo de Cobre NU | 16 mm;PF-16 - Intelli;un.;9,04;09/12/2025;"https://www.a3eletro.com.br/fios-e-cabos/acessorios-para-cabos/terminais-e-conectores/conector-split-bolt-pcabo-16mm-cobre; https://www.eletrotrafo.com.br/conector-split-bolt-10-mm-pf-10-intelli-02140002/p?skuId=4362"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Split-Bolt Para Cabo de Cobre NU | 185 mm;PF-185 - Intelli;un.;66,62;09/12/2025;"https://www.a3eletro.com.br/fios-e-cabos/acessorios-para-cabos/terminais-e-conectores/conector-split-bolt-pcabo-185mm-cobre; https://www.eletrotrafo.com.br/conector-split-bolt-10-mm-pf-10-intelli-02140002/p?skuId=4362"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Split-Bolt Para Cabo de Cobre NU | 240 mm;PF-240 - Intelli;un.;90,72;09/12/2025;"https://www.a3eletro.com.br/fios-e-cabos/acessorios-para-cabos/terminais-e-conectores/conector-split-bolt-pcabo-240mm-cobre; https://www.eletrotrafo.com.br/conector-split-bolt-10-mm-pf-10-intelli-02140002/p?skuId=4362"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Split-Bolt Para Cabo de Cobre NU | 25 mm;PF-25 - Intelli;un.;11,8;09/12/2025;"https://www.a3eletro.com.br/fios-e-cabos/acessorios-para-cabos/terminais-e-conectores/conector-split-bolt-pcabo-25mm-cobre; https://www.eletrotrafo.com.br/conector-split-bolt-10-mm-pf-10-intelli-02140002/p?skuId=4362"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Split-Bolt Para Cabo de Cobre NU | 35 mm;PF-35 - Intelli;un.;13,26;09/12/2025;"https://www.a3eletro.com.br/fios-e-cabos/acessorios-para-cabos/terminais-e-conectores/conector-split-bolt-pcabo-35mm-cobre; https://www.eletrotrafo.com.br/conector-split-bolt-10-mm-pf-10-intelli-02140002/p?skuId=4362"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Split-Bolt Para Cabo de Cobre NU | 50 mm (7 Fios);PF-50 - Intelli;un.;17,3;09/12/2025;"https://www.a3eletro.com.br/fios-e-cabos/acessorios-para-cabos/terminais-e-conectores/conector-split-bolt-pcabo-50mm-cobre; https://www.eletrotrafo.com.br/conector-split-bolt-10-mm-pf-10-intelli-02140002/p?skuId=4362"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Split-Bolt Para Cabo de Cobre NU | 70 mm;PF-70 - Intelli;un.;24,57;09/12/2025;"https://www.a3eletro.com.br/fios-e-cabos/acessorios-para-cabos/terminais-e-conectores/conector-split-bolt-pcabo-70mm-cobre; https://www.eletrotrafo.com.br/conector-split-bolt-10-mm-pf-10-intelli-02140002/p?skuId=4362"
ATERRAMENTO;CONECTOR;NÃO ENCONTRADO;Conector Split-Bolt Para Cabo de Cobre NU | 95 mm;PF-95 - Intelli;un.;37,77;09/12/2025;"https://www.a3eletro.com.br/fios-e-cabos/acessorios-para-cabos/terminais-e-conectores/conector-split-bolt-pcabo-95mm-cobre; https://www.eletrotrafo.com.br/conector-split-bolt-10-mm-pf-10-intelli-02140002/p?skuId=4362"
ATERRAMENTO;GRAMPO METALICO;NÃO ENCONTRADO;"Grampo de Aço Zincado Eletrolítico - Haste 1/2"" - 5/8"", Condutor 6-50mm2 e 10-1/0 AWG/MCM";GA-12 - Intelli;un.;15,29;12/01/2026;https://www.dimensional.com.br/grampo-terra-haste-cabo-cobre-10-10mm2-1-2-acessorios-aco-zincado-ga12-intelli/p
ATERRAMENTO;GRAMPO METALICO;NÃO ENCONTRADO;"Grampo de Liga de Cobre - Haste 3/8"", Condutor 10-50mm2 e 8-1/0 AWG/MCM";GA-38 - Intelli;un.;25,19;16/01/2026;https://www.dimensional.com.br/grampo-terra-simples-cabo-bronze-10-50mm2-5-16-3-8-parafuso-ga38-intelli/p
ATERRAMENTO;GRAMPO METALICO;NÃO ENCONTRADO;Grampo em Bronze, Parafuso em Liga de Cobre - Haste 1, Condutor 10-50mm2 e 8-1/0 AWG/MCM;TH-1 - Intelli;un.;;;-
ATERRAMENTO;GRAMPO METALICO;NÃO ENCONTRADO;"Grampo em Bronze, Parafuso em Liga de Cobre - Haste 1/2"" - 5/8"", Condutor 6-50mm2 e 10-1/0 AWG/MCM";TH-12-58 - Intelli;un.;6,11;16/01/2026;https://www.dimensional.com.br/grampo-terra-simples-haste-cabo-cobre-10-a-50-mm2-1-2-5-8-th1258-intelli/p
ATERRAMENTO;GRAMPO METALICO;NÃO ENCONTRADO;"Grampo em Bronze, Parafuso em Liga de Cobre - Haste 3/4"", Condutor 10-50mm2 e 8-1/0 AWG/MCM";TH-34 - Intelli;un.;11,86;16/01/2026;"https://www.santil.com.br/conector-para-haste-34-polegadas-th-34-intelli/p; https://express.nortel.com.br/th34-intelli/p"
ATERRAMENTO;GRAMPO METALICO;NÃO ENCONTRADO;"Grampo em Bronze, Parafuso em Liga de Cobre - Haste 3/8"", Condutor 4-16mm2 e 12-8 AWG/MCM";TH-38 - Intelli;un.;;;-
ATERRAMENTO;GRAMPO METALICO;NÃO ENCONTRADO;"Grampo em Bronze, Parafuso em Liga de Cobre - Haste 5/8"", Condutor 10-50mm2 e 8-1/0 AWG/MCM";TH-58 - Intelli;un.;7,82;16/01/2026;https://www.dimensional.com.br/grampo-terra-simples-cobre-10-a-50-mm2-5-8-th58-intelli/p
ATERRAMENTO;GRAMPO METALICO;NÃO ENCONTRADO;Grampo em Liga de Cobre, Parafuso em Aço Zincado Eletrolítico - Haste 1, Condutor 10-50mm2 e 8-1/0 AWG/MCM;TH-1-R - Intelli;un.;;;-
